"Participant","Set_num","Set_size"
"diam",1,3
"diam",2,10
"diam",3,7
"logo",4,7
"logo",5,2
"logo",6,2
"logo",7,2
"logo",8,2
"logo",9,5
"wiad",10,5
"wiad",11,7
"wiad",12,5
"wiad",13,3
"gege",14,2
"gege",15,2
"gege",16,4
"gege",17,3
"gege",18,3
"gege",19,3
"gege",20,3
"seoc",21,2
"seoc",22,2
"seoc",23,2
"seoc",24,2
"seoc",25,2
"seoc",26,2
"seoc",27,6
"seoc",28,2
"sapa",29,5
"sapa",30,9
"sapa",31,6
"male",32,8
"male",33,12
"anko",34,6
"anko",35,6
"anko",36,8
"jawa",37,2
"jawa",38,2
"jawa",39,3
"jawa",40,2
"jawa",41,4
"jawa",42,1
"jawa",43,4
"jawa",44,2
"toal",45,8
"toal",46,7
"toal",47,5
"daha",48,4
"daha",49,9
"daha",50,7
"8000",51,7
"8000",52,1
"8000",53,3
"8000",54,9
"8001",55,2
"8001",56,2
"8001",57,2
"8001",58,2
"8001",59,2
"8001",60,2
"8001",61,2
"8001",62,2
"8001",63,2
"8001",64,2
"8002",65,5
"8002",66,3
"8002",67,6
"8002",68,6
"8003",69,9
"8003",70,11
"8004",71,6
"8004",72,7
"8004",73,4
"8004",74,3
"8005",75,3
"8005",76,5
"8005",77,3
"8005",78,4
"8005",79,5
"8006",80,3
"8006",81,8
"8006",82,5
"8006",83,4
"8007",84,8
"8007",85,5
"8007",86,7
"8008",87,5
"8008",88,9
"8008",89,6
"8009",90,7
"8009",91,5
"8009",92,8
"8010",93,4
"8010",94,9
"8010",95,5
"8010",96,2
"8011",97,4
"8011",98,6
"8011",99,10
"8012",100,4
"8012",101,5
"8012",102,5
"8012",103,6
"8013",104,4
"8013",105,3
"8013",106,1
"8013",107,3
"8013",108,1
"8013",109,3
"8013",110,1
"8013",111,1
"8013",112,2
"8013",113,1
"8014",114,5
"8014",115,6
"8014",116,4
"8014",117,5
"8015",118,7
"8015",119,4
"8015",120,4
"8015",121,5
"8016",122,4
"8016",123,6
"8016",124,10
"8017",125,4
"8017",126,3
"8017",127,5
"8017",128,8
"8018",129,5
"8018",130,2
"8018",131,9
"8018",132,2
"8018",133,2
"8019",134,1
"8019",135,2
"8019",136,3
"8019",137,4
"8019",138,3
"8019",139,1
"8019",140,4
"8019",141,2
"8020",142,2
"8020",143,5
"8020",144,4
"8020",145,2
"8020",146,5
"8020",147,2
"8021",148,6
"8021",149,4
"8021",150,5
"8021",151,5
