"Set","Participant","Set_num","Set_size"
"P1","diam",1,2
"P1","diam",2,3
"P1","diam",3,5
"P1","diam",4,2
"P1","diam",5,8
"P1","logo",6,5
"P1","logo",7,3
"P1","logo",8,4
"P1","logo",9,4
"P1","logo",10,4
"P1","wiad",11,3
"P1","wiad",12,5
"P1","wiad",13,3
"P1","wiad",14,3
"P1","wiad",15,6
"P1","gege",16,2
"P1","gege",17,3
"P1","gege",18,7
"P1","gege",19,3
"P1","gege",20,5
"P1","seoc",21,2
"P1","seoc",22,6
"P1","seoc",23,2
"P1","seoc",24,2
"P1","seoc",25,2
"P1","seoc",26,2
"P1","seoc",27,2
"P1","seoc",28,2
"P1","sapa",29,9
"P1","sapa",30,11
"P1","male",31,4
"P1","male",32,16
"P1","anko",33,8
"P1","anko",34,4
"P1","anko",35,8
"P1","jawa",36,6
"P1","jawa",37,5
"P1","jawa",38,5
"P1","jawa",39,4
"P1","toal",40,7
"P1","toal",41,13
"P1","daha",42,12
"P1","daha",43,8
"P1","8000",44,14
"P1","8000",45,6
"P1","8001",46,2
"P1","8001",47,3
"P1","8001",48,3
"P1","8001",49,3
"P1","8001",50,3
"P1","8001",51,3
"P1","8001",52,3
"P1","8002",53,10
"P1","8002",54,10
"P1","8003",55,13
"P1","8003",56,7
"P1","8004",57,13
"P1","8004",58,7
"P1","8005",59,4
"P1","8005",60,5
"P1","8005",61,4
"P1","8005",62,3
"P1","8005",63,2
"P1","8005",64,2
"P1","8006",65,5
"P1","8006",66,6
"P1","8006",67,9
"P1","8007",68,10
"P1","8007",69,10
"P1","8008",70,7
"P1","8008",71,6
"P1","8008",72,7
"P1","8009",73,6
"P1","8009",74,5
"P1","8009",75,9
"P1","8010",76,6
"P1","8010",77,7
"P1","8010",78,7
"P1","8011",79,5
"P1","8011",80,4
"P1","8011",81,3
"P1","8011",82,5
"P1","8011",83,3
"P1","8012",84,6
"P1","8012",85,8
"P1","8012",86,6
"P1","8013",87,5
"P1","8013",88,3
"P1","8013",89,3
"P1","8013",90,2
"P1","8013",91,2
"P1","8013",92,1
"P1","8013",93,4
"P1","8014",94,10
"P1","8014",95,10
"P1","8015",96,10
"P1","8015",97,10
"P1","8016",98,8
"P1","8016",99,11
"P1","8017",100,9
"P1","8017",101,7
"P1","8017",102,4
"P1","8018",103,4
"P1","8018",104,4
"P1","8018",105,6
"P1","8018",106,6
"P1","8019",107,4
"P1","8019",108,2
"P1","8019",109,1
"P1","8019",110,2
"P1","8019",111,3
"P1","8019",112,2
"P1","8019",113,3
"P1","8019",114,3
"P1","8020",115,10
"P1","8020",116,10
"P1","8021",117,2
"P1","8021",118,3
"P1","8021",119,8
"P1","8021",120,7
